OOX_X___X|1,0|-0,3
OOX_X___X|1,2|0,1026
O___X___X|0,1|-0,0855
____X____|0,0|-0,0243675
____X____|0,1|-0,076263499125
____X____|0,2|-0,0243675
____X____|1,0|-0,0243675
____X____|1,2|0,0165493094625
OOXOXX_X_|2,0|0,3
OOX_X__X_|1,0|0,0855
O___X__X_|0,1|0,0243675
_______X_|0,0|0,0069447375
OX__OX_OX|0,2|0,83193
OX__OX___|2,2|0,451050527797531
OX__OX___|0,2|0,011818959975
OX_______|1,2|-0,039813148471592
OX_______|2,2|0,0532548329752874
OX_______|1,1|0,0698586272485896
OX_______|2,1|-0,0147705525
OX_______|0,2|0,141169115980911
OX_______|1,0|-0,0053035821106875
OX_______|2,0|0,122379315200381
_________|0,1|0,406896216843605
_________|1,0|0,407224539193209
_________|0,0|0,408276722850092
_________|0,2|0,407250446843837
_________|1,2|0,406634811279205
_________|2,0|0,407175397396581
_________|2,2|0,402336063914097
_________|2,1|0,407012559680734
_________|1,1|0,407253125
__OXOX___|2,2|-0,2955
__OXOX___|0,0|-0,3
__OXOX___|2,0|-0,14535
__OX_____|1,2|-0,0763986019986946
__OX_____|2,0|-0,011154223125
__OX_____|0,1|-0,0243675
__OX_____|2,2|0,207750923843353
__OX_____|2,1|-0,004629825
__OX_____|1,1|0,0666547229027031
__OX_____|0,0|0,30613772427868
XO_XXO__O|2,0|0,999999999999998
XO_X____O|1,1|0,1567215
XO_X____O|2,1|0,304314911047922
XO_X____O|1,2|0,05538976425
X_______O|1,0|0,451417831535934
X_______O|1,2|0,333703108651387
X_______O|0,2|0,482236676576896
X_______O|2,1|0,311854227266993
X_______O|2,0|0,902499996844019
X_______O|1,1|0,568779418631278
X_______O|0,1|0,322456192384425
_XXOO_O_X|0,0|0,51
_XXO__O__|2,2|-0,15636
_XXO__O__|1,1|-0,16857525
__XO_____|0,1|-0,035014358455432
__XO_____|2,1|-0,033160512375
__XO_____|1,1|0,29215028665351
__XO_____|1,2|0,183036925278448
__XO_____|0,0|0,861071679588209
__XO_____|2,2|0,1607025681
__XO_____|2,0|0,0866026065675575
OXOOX_XOX|1,2|0,4930793563995
_XOO__XOX|1,1|0,170452616573857
_XO___XO_|2,2|0,01218375
_XO___XO_|1,1|0,020712375
_XO___XO_|0,0|0,135375
_XO______|2,0|0,10549971272394
_XO______|1,1|0,428463141847234
_XO______|1,2|0,136945360423785
_XO______|2,2|0,0535315053601639
_XO______|1,0|0,0940512026978982
